colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Natural Ply,Woodmatt,Laminate,52135,Laminate Natural Ply Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-ply/,2025-08-21T05:30:22Z,Woodmatt,0.7,3650,1360
Natural Ply,Woodmatt,Laminate,52615,Laminate Natural Ply Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-ply/,2025-08-21T05:30:25Z,Woodmatt,0.7,3650,680
Natural Ply,Woodmatt,Laminate,52617,Laminate Natural Ply Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-ply/,2025-08-21T05:30:28Z,Woodmatt,0.7,1825,680
Natural Ply,Woodmatt,Laminate,52616,Laminate Natural Ply Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-ply/,2025-08-21T05:30:31Z,Woodmatt,0.7,1825,1360
Plantation Ash,Woodmatt,Laminate,52137,Laminate Plantation Ash Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/plantation-ash/,2025-08-21T05:31:11Z,Woodmatt,0.7,3650,1360
Plantation Ash,Woodmatt,Laminate,52691,Laminate Plantation Ash Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/plantation-ash/,2025-08-21T05:31:14Z,Woodmatt,0.7,3650,680
Plantation Ash,Woodmatt,Laminate,52693,Laminate Plantation Ash Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/plantation-ash/,2025-08-21T05:31:17Z,Woodmatt,0.7,1825,680
Plantation Ash,Woodmatt,Laminate,52692,Laminate Plantation Ash Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/plantation-ash/,2025-08-21T05:31:20Z,Woodmatt,0.7,1825,1360
Ligurian Walnut,Woodmatt,Laminate,52131,Laminate Ligurian Walnut Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ligurian-walnut/,2025-08-21T05:31:55Z,Woodmatt,0.7,3650,1360
Ligurian Walnut,Woodmatt,Laminate,52552,Laminate Ligurian Walnut Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ligurian-walnut/,2025-08-21T05:31:58Z,Woodmatt,0.7,3650,680
